iter	Passed	Remaining
402	11914	2867
403	11945	2838
404	11975	2809
405	12005	2779
406	12038	2750
407	12069	2721
408	12102	2692
409	12132	2663
410	12163	2634
411	12192	2604
412	12220	2574
413	12250	2544
414	12281	2515
415	12308	2485
416	12335	2455
417	12367	2426
418	12395	2396
419	12426	2366
420	12454	2337
421	12483	2307
422	12511	2277
423	12540	2247
424	12568	2218
425	12596	2188
426	12622	2157
427	12650	2128
428	12681	2098
429	12708	2068
430	12736	2038
431	12764	2009
432	12807	1981
433	12834	1951
434	12857	1921
435	12888	1891
436	12918	1862
437	12946	1832
438	12974	1802
439	13005	1773
440	13030	1743
441	13058	1713
442	13088	1684
443	13118	1654
444	13149	1625
445	13177	1595
446	13207	1566
447	13237	1536
448	13264	1506
449	13293	1477
450	13322	1447
451	13351	1417
452	13380	1388
453	13409	1358
454	13436	1328
455	13464	1299
456	13492	1269
457	13521	1240
458	13551	1210
459	13580	1180
460	13608	1151
461	13636	1121
462	13667	1092
463	13695	1062
464	13723	1032
465	13752	1003
466	13781	973
467	13809	944
468	13838	914
469	13868	885
470	13888	855
471	13917	825
472	13947	796
473	13976	766
474	14006	737
475	14035	707
476	14065	678
477	14096	648
478	14140	619
479	14169	590
480	14197	560
481	14224	531
482	14253	501
483	14283	472
484	14312	442
485	14342	413
486	14370	383
487	14400	354
488	14430	324
489	14460	295
490	14489	265
491	14517	236
492	14546	206
493	14576	177
494	14602	147
495	14622	117
496	14652	88
497	14683	58
498	14713	29
499	14743	0
