iter	RMSE
152	0.2915226916
153	0.2914314012
154	0.2913276214
155	0.2911893214
156	0.2910283027
157	0.2909763957
158	0.2908978284
159	0.2907338588
160	0.2906388927
161	0.2905637173
162	0.2904590277
163	0.2903805337
164	0.2903054687
165	0.2902614715
166	0.2901847055
167	0.2900911386
168	0.2900441361
169	0.2899899249
170	0.2899580198
171	0.2898789775
172	0.2898103999
173	0.2897332653
174	0.2896494128
175	0.2895701288
176	0.2895323021
177	0.2894305998
178	0.2893893021
179	0.289344049
180	0.2892817457
181	0.2891901222
182	0.2891544304
183	0.289076965
184	0.2889786268
185	0.2889080101
186	0.2888562649
187	0.288825568
188	0.2887816584
189	0.2887276822
190	0.2886618299
191	0.2885531092
192	0.2885123964
193	0.288474201
194	0.2884251815
195	0.2883869685
196	0.2882779053
197	0.2881888964
198	0.2880545284
199	0.2879940726
200	0.2879199703
201	0.2878329104
202	0.2877676062
203	0.2876898976
204	0.28764744
205	0.2875817139
206	0.2874965095
207	0.2873961857
208	0.287309402
209	0.2872379103
210	0.2871572372
211	0.2871178591
212	0.2870828103
213	0.2870177747
214	0.2869303045
215	0.2868627018
216	0.2868158759
217	0.2867515487
218	0.2866884745
219	0.2866399113
220	0.28656007
221	0.2865147591
222	0.2864446776
223	0.2864182993
224	0.2863832685
225	0.2862787388
226	0.286178131
227	0.286143134
228	0.2860843373
229	0.2860337659
230	0.285983306
231	0.2859503474
232	0.285905866
233	0.2858604892
234	0.2858279096
235	0.2857742733
236	0.2857419497
237	0.2856836499
238	0.2856536033
239	0.2855783389
240	0.2854961928
241	0.2854458433
242	0.2854202764
243	0.2853539398
244	0.285296054
245	0.2852567914
246	0.2852343796
247	0.2851937175
248	0.2851076618
249	0.2850620243
250	0.2849884147
251	0.2849403724
252	0.2848769406
253	0.2847747935
254	0.2847326552
255	0.2846797829
256	0.2846076394
257	0.2845333026
258	0.284480287
259	0.2844108782
260	0.2843782957
261	0.2843341697
262	0.2842882298
263	0.2842256749
264	0.2841718828
265	0.2841221058
266	0.2840357648
267	0.2840088967
268	0.2839076698
269	0.283857472
270	0.2838059251
271	0.2837589149
272	0.283736703
273	0.2836865075
274	0.283613318
275	0.2835127842
276	0.2834590415
277	0.2834242455
278	0.2833601369
279	0.2833065237
280	0.2832482518
281	0.2832110057
282	0.283169797
283	0.2831290232
284	0.283097767
285	0.2830743091
286	0.283003641
287	0.2829686036
288	0.2829192497
289	0.2828699011
290	0.2827875794
291	0.2827489367
292	0.2826689176
293	0.2826314017
294	0.2826082488
295	0.2825562449
296	0.2825117109
297	0.2824560599
298	0.2824212172
299	0.2823969282
300	0.2823753138
301	0.2823444621
302	0.2823058317
303	0.2822833717
304	0.2822426345
305	0.2822034585
306	0.2821446076
307	0.2821247125
308	0.2820812503
309	0.2820546373
310	0.2820372793
311	0.2819915628
312	0.2819605078
313	0.281917761
314	0.2818732134
315	0.2818062599
316	0.281730506
317	0.2816999294
318	0.2816264462
319	0.2815995095
320	0.2815529986
321	0.2815176099
322	0.281481425
323	0.2814077774
324	0.2813824159
325	0.2813359654
326	0.2812992757
327	0.2812799695
328	0.2812425301
329	0.2812047585
330	0.2811087104
331	0.2810688328
332	0.2810175948
333	0.2809772198
334	0.2809523078
335	0.2808527209
336	0.2808355066
337	0.2808196871
338	0.2807544941
339	0.2807185618
340	0.2807045909
341	0.2806749923
342	0.2806270601
343	0.280587034
344	0.2805710151
345	0.2805564318
346	0.2805188933
347	0.2804415146
348	0.2804237487
349	0.2803147908
350	0.2802970396
351	0.2802722249
352	0.2802339074
353	0.2802039941
354	0.2801463813
355	0.2800870608
356	0.2800675258
357	0.2800249909
358	0.2799369756
359	0.279907431
360	0.279868858
361	0.2798417993
362	0.2798044963
363	0.2797473486
364	0.2796949663
365	0.2796415752
366	0.2795980609
367	0.2795276083
368	0.2794910032
369	0.279442803
370	0.2793932896
371	0.279370938
372	0.2792825377
373	0.2792483613
374	0.2792152622
375	0.2791899761
376	0.2791017895
377	0.2790332231
378	0.2790016312
379	0.2789520942
380	0.2789089996
381	0.2788584057
382	0.2788040628
383	0.278782865
384	0.2787385344
385	0.2786981878
386	0.2786714788
387	0.2786322714
388	0.2786063434
389	0.2785821428
390	0.2785218392
391	0.2784706109
392	0.2784543212
393	0.2784190933
394	0.2784075656
395	0.278388278
396	0.2783750133
397	0.2783030151
398	0.2782643235
399	0.2782081661
400	0.2781916097
401	0.2781616108
402	0.278124333
403	0.2780911056
404	0.278053899
405	0.278032374
406	0.2780072942
407	0.2779650891
408	0.277880971
409	0.277836645
410	0.2777966452
411	0.2777731839
412	0.2777456978
413	0.2777172884
414	0.2776851473
415	0.2776621919
416	0.2776258792
417	0.2776056185
418	0.277555097
419	0.2775095902
420	0.2774974372
421	0.2774628019
422	0.2774339521
423	0.2774072358
424	0.277379067
425	0.2773216459
426	0.2773032866
427	0.2772757246
428	0.277245173
429	0.2772074743
430	0.2771824263
431	0.2771697282
432	0.2771534806
433	0.2771325984
434	0.2770960782
435	0.2770613836
436	0.2770249858
437	0.2769838391
438	0.2769582976
439	0.27689846
440	0.2768762357
441	0.2768513106
442	0.2768074125
443	0.2767897289
444	0.2767505777
445	0.2767001904
446	0.2766465209
447	0.2766308185
448	0.2766075136
449	0.276591593
450	0.2765497117
451	0.276523705
452	0.2765003644
453	0.276495398
454	0.2764359837
455	0.2764124821
456	0.2764082623
457	0.2763843618
458	0.2763324813
459	0.2763151739
460	0.2762898635
461	0.2762773247
462	0.2762480863
463	0.2762029891
464	0.2761634247
465	0.2761344953
466	0.2760988184
467	0.2760736618
468	0.2760093936
469	0.2759957194
470	0.2759377201
471	0.2759149731
472	0.2758726859
473	0.2758659812
474	0.2758407708
475	0.275809811
476	0.2757675923
477	0.2757413938
478	0.2757169115
479	0.2756832706
480	0.2756261106
481	0.2756148463
482	0.2755981597
483	0.2755569036
484	0.2755248206
485	0.2755130257
486	0.2754883351
487	0.2754665803
488	0.2754386659
489	0.2754175137
490	0.2753729816
491	0.275340359
492	0.2753348336
493	0.275319912
494	0.2753015162
495	0.2752783521
496	0.2752508641
497	0.2752183639
498	0.2751916984
499	0.2751679744
