iter	RMSE
0	0.5696476544
1	0.5527811442
2	0.5365047113
3	0.5210782199
4	0.5064223452
5	0.4926404517
6	0.4802131647
7	0.4680633522
8	0.4572736165
9	0.4470511155
10	0.4373391239
11	0.4280914622
12	0.4198114223
13	0.4121310697
14	0.4049704099
15	0.3983535289
16	0.3921651649
17	0.3864447841
18	0.381068986
19	0.3760785079
20	0.3713197979
21	0.3669818127
22	0.3629189514
23	0.3591963347
24	0.3557352878
25	0.3524641873
26	0.3496833217
27	0.3470180993
28	0.3442659407
29	0.3418592016
30	0.3397074377
31	0.3374364418
32	0.3351144532
33	0.3333749963
34	0.3315008749
35	0.3298178299
36	0.3283514166
37	0.3267374534
38	0.3253812846
39	0.3237532946
40	0.3225755155
41	0.3211718815
42	0.3201988171
43	0.3189925628
44	0.3182156826
45	0.3172111208
46	0.3163575471
47	0.3154708021
48	0.3147425322
49	0.3137558691
50	0.3129853542
51	0.3122065706
52	0.3115866831
53	0.3109847983
54	0.31039346
55	0.3097309716
56	0.3092363234
57	0.308536329
58	0.3080837996
59	0.3075651642
60	0.3070988632
61	0.3067258124
62	0.3062453401
63	0.3059617066
64	0.3054453777
65	0.3050584628
66	0.3047194728
67	0.3043912746
68	0.3038794127
69	0.3036510791
70	0.3033077732
71	0.3030572785
72	0.3026275969
73	0.302359833
74	0.3020414822
75	0.3017271655
76	0.301398208
77	0.3011016573
78	0.3008310885
79	0.3005580864
80	0.3002448281
81	0.299894159
82	0.2997604821
83	0.2995766767
84	0.2993443726
85	0.2991002343
86	0.2989340411
87	0.298732044
88	0.2984880944
89	0.2983254732
90	0.2981492825
91	0.2979388157
92	0.2977947336
93	0.2976620427
94	0.2974881227
95	0.2973247615
96	0.2971682341
97	0.2970308692
98	0.2968642265
99	0.2967353123
100	0.296638268
101	0.2964742133
102	0.2963727654
103	0.2962653956
104	0.2961813297
105	0.2960650116
106	0.2959846495
107	0.2959028365
108	0.2956749425
109	0.2956106625
110	0.2953970432
111	0.2952384056
112	0.2951505866
113	0.2950224476
114	0.2949135315
115	0.2947909513
116	0.294714706
117	0.2946161391
118	0.2944651776
119	0.2942777502
120	0.2941916927
121	0.2940817173
122	0.2940286532
123	0.2939758216
124	0.2938810965
125	0.2938269213
126	0.2937246636
127	0.293623854
128	0.2935549955
129	0.2934538616
130	0.2933241059
131	0.2932486657
132	0.2931244687
133	0.29308713
134	0.2929936904
135	0.2928882667
136	0.2927808376
137	0.2927164663
138	0.2926331884
139	0.2925846327
140	0.2924818734
141	0.292401362
142	0.2922634829
143	0.2922296927
144	0.2921627731
145	0.2920997202
146	0.2920084237
147	0.2918967858
148	0.2918362236
149	0.2917901489
150	0.291644272
151	0.2916152037
